,B19013B_001E,B19013_001E,NAME,congressional district,state
218,34250.0,73884.0,"Congressional District 6 (115th Congress), Minnesota",06,27
219,20274.0,52930.0,"Congressional District 7 (115th Congress), Minnesota",07,27
220,19398.0,51684.0,"Congressional District 8 (115th Congress), Minnesota",08,27
221,30235.0,42647.0,"Congressional District 1 (115th Congress), Mississippi",01,28
222,25859.0,32409.0,"Congressional District 2 (115th Congress), Mississippi",02,28
223,27971.0,42767.0,"Congressional District 3 (115th Congress), Mississippi",03,28
224,26613.0,43173.0,"Congressional District 4 (115th Congress), Mississippi",04,28
225,32105.0,41817.0,"Congressional District 1 (115th Congress), Missouri",01,29
226,54353.0,76996.0,"Congressional District 2 (115th Congress), Missouri",02,29
227,37157.0,57658.0,"Congressional District 3 (115th Congress), Missouri",03,29
228,34959.0,45929.0,"Congressional District 4 (115th Congress), Missouri",04,29
229,32355.0,45886.0,"Congressional District 5 (115th Congress), Missouri",05,29
230,42854.0,55377.0,"Congressional District 6 (115th Congress), Missouri",06,29
231,30033.0,42719.0,"Congressional District 7 (115th Congress), Missouri",07,29
232,22467.0,39076.0,"Congressional District 8 (115th Congress), Missouri",08,29
233,28863.0,48380.0,"Congressional District (at Large) (115th Congress), Montana",00,30
234,36378.0,55048.0,"Congressional District 1 (115th Congress), Nebraska",01,31
235,28758.0,59906.0,"Congressional District 2 (115th Congress), Nebraska",02,31
236,29389.0,50034.0,"Congressional District 3 (115th Congress), Nebraska",03,31
237,27208.0,38941.0,"Congressional District 1 (115th Congress), Nevada",01,32
238,37592.0,55692.0,"Congressional District 2 (115th Congress), Nevada",02,32
239,50313.0,64740.0,"Congressional District 3 (115th Congress), Nevada",03,32
240,43217.0,53889.0,"Congressional District 4 (115th Congress), Nevada",04,32
241,48173.0,69225.0,"Congressional District 1 (115th Congress), New Hampshire",01,33
242,53536.0,67675.0,"Congressional District 2 (115th Congress), New Hampshire",02,33
243,45208.0,65770.0,"Congressional District 1 (115th Congress), New Jersey",01,34
244,35219.0,59785.0,"Congressional District 2 (115th Congress), New Jersey",02,34
245,67452.0,74644.0,"Congressional District 3 (115th Congress), New Jersey",03,34
246,52337.0,77685.0,"Congressional District 4 (115th Congress), New Jersey",04,34
247,65535.0,95701.0,"Congressional District 5 (115th Congress), New Jersey",05,34
248,58825.0,77157.0,"Congressional District 6 (115th Congress), New Jersey",06,34
249,75110.0,104987.0,"Congressional District 7 (115th Congress), New Jersey",07,34
250,41256.0,55493.0,"Congressional District 8 (115th Congress), New Jersey",08,34
251,42155.0,62559.0,"Congressional District 9 (115th Congress), New Jersey",09,34
252,40306.0,48168.0,"Congressional District 10 (115th Congress), New Jersey",10,34
253,81070.0,103419.0,"Congressional District 11 (115th Congress), New Jersey",11,34
254,53182.0,81115.0,"Congressional District 12 (115th Congress), New Jersey",12,34
255,39658.0,47990.0,"Congressional District 1 (115th Congress), New Mexico",01,35
256,42209.0,41600.0,"Congressional District 2 (115th Congress), New Mexico",02,35
257,43735.0,47956.0,"Congressional District 3 (115th Congress), New Mexico",03,35
258,50820.0,88242.0,"Congressional District 1 (115th Congress), New York",01,36
259,75895.0,90614.0,"Congressional District 2 (115th Congress), New York",02,36
260,80111.0,104805.0,"Congressional District 3 (115th Congress), New York",03,36
261,81304.0,96078.0,"Congressional District 4 (115th Congress), New York",04,36
262,65603.0,62979.0,"Congressional District 5 (115th Congress), New York",05,36
263,61696.0,60158.0,"Congressional District 6 (115th Congress), New York",06,36
264,34857.0,49581.0,"Congressional District 7 (115th Congress), New York",07,36
265,43735.0,47048.0,"Congressional District 8 (115th Congress), New York",08,36
266,41691.0,50825.0,"Congressional District 9 (115th Congress), New York",09,36
267,44487.0,81814.0,"Congressional District 10 (115th Congress), New York",10,36
268,45158.0,66890.0,"Congressional District 11 (115th Congress), New York",11,36
269,37569.0,93559.0,"Congressional District 12 (115th Congress), New York",12,36
270,33591.0,37263.0,"Congressional District 13 (115th Congress), New York",13,36
271,52201.0,52427.0,"Congressional District 14 (115th Congress), New York",14,36
272,29579.0,26096.0,"Congressional District 15 (115th Congress), New York",15,36
273,52043.0,66153.0,"Congressional District 16 (115th Congress), New York",16,36
274,69029.0,91734.0,"Congressional District 17 (115th Congress), New York",17,36
275,55307.0,79539.0,"Congressional District 18 (115th Congress), New York",18,36
276,37919.0,58698.0,"Congressional District 19 (115th Congress), New York",19,36
277,31317.0,62112.0,"Congressional District 20 (115th Congress), New York",20,36
278,46743.0,51976.0,"Congressional District 21 (115th Congress), New York",21,36
279,25678.0,50059.0,"Congressional District 22 (115th Congress), New York",22,36
280,25213.0,47916.0,"Congressional District 23 (115th Congress), New York",23,36
281,28741.0,53930.0,"Congressional District 24 (115th Congress), New York",24,36
282,28487.0,53060.0,"Congressional District 25 (115th Congress), New York",25,36
283,26503.0,45640.0,"Congressional District 26 (115th Congress), New York",26,36
284,35371.0,61359.0,"Congressional District 27 (115th Congress), New York",27,36
285,30454.0,40587.0,"Congressional District 1 (115th Congress), North Carolina",01,37
286,40521.0,61538.0,"Congressional District 2 (115th Congress), North Carolina",02,37
287,31930.0,46916.0,"Congressional District 3 (115th Congress), North Carolina",03,37
288,44700.0,64252.0,"Congressional District 4 (115th Congress), North Carolina",04,37
289,30749.0,42087.0,"Congressional District 5 (115th Congress), North Carolina",05,37
290,32523.0,45391.0,"Congressional District 6 (115th Congress), North Carolina",06,37
291,27615.0,44413.0,"Congressional District 7 (115th Congress), North Carolina",07,37
292,37074.0,48643.0,"Congressional District 8 (115th Congress), North Carolina",08,37
293,31104.0,53630.0,"Congressional District 9 (115th Congress), North Carolina",09,37
294,28448.0,43877.0,"Congressional District 10 (115th Congress), North Carolina",10,37
295,27188.0,41913.0,"Congressional District 11 (115th Congress), North Carolina",11,37
296,40044.0,53409.0,"Congressional District 12 (115th Congress), North Carolina",12,37
297,32107.0,46792.0,"Congressional District 13 (115th Congress), North Carolina",13,37
298,28474.0,59114.0,"Congressional District (at Large) (115th Congress), North Dakota",00,38
299,25402.0,53393.0,"Congressional District 1 (115th Congress), Ohio",01,39
300,32755.0,52629.0,"Congressional District 2 (115th Congress), Ohio",02,39
301,32679.0,42960.0,"Congressional District 3 (115th Congress), Ohio",03,39
302,26030.0,49974.0,"Congressional District 4 (115th Congress), Ohio",04,39
303,36934.0,54480.0,"Congressional District 5 (115th Congress), Ohio",05,39
304,24676.0,44574.0,"Congressional District 6 (115th Congress), Ohio",06,39
305,27299.0,50830.0,"Congressional District 7 (115th Congress), Ohio",07,39
306,34732.0,53561.0,"Congressional District 8 (115th Congress), Ohio",08,39
307,24063.0,41179.0,"Congressional District 9 (115th Congress), Ohio",09,39
308,29804.0,48257.0,"Congressional District 10 (115th Congress), Ohio",10,39
309,26045.0,34673.0,"Congressional District 11 (115th Congress), Ohio",11,39
310,49415.0,66774.0,"Congressional District 12 (115th Congress), Ohio",12,39
311,24305.0,42373.0,"Congressional District 13 (115th Congress), Ohio",13,39
312,46738.0,62811.0,"Congressional District 14 (115th Congress), Ohio",14,39
313,51358.0,57874.0,"Congressional District 15 (115th Congress), Ohio",15,39
314,48570.0,62293.0,"Congressional District 16 (115th Congress), Ohio",16,39
315,28632.0,51527.0,"Congressional District 1 (115th Congress), Oklahoma",01,40
316,25952.0,40205.0,"Congressional District 2 (115th Congress), Oklahoma",02,40
317,31779.0,49178.0,"Congressional District 3 (115th Congress), Oklahoma",03,40
318,39250.0,52339.0,"Congressional District 4 (115th Congress), Oklahoma",04,40
319,31059.0,47442.0,"Congressional District 5 (115th Congress), Oklahoma",05,40
320,53152.0,66106.0,"Congressional District 1 (115th Congress), Oregon",01,41
321,23073.0,46384.0,"Congressional District 2 (115th Congress), Oregon",02,41
322,27473.0,57649.0,"Congressional District 3 (115th Congress), Oregon",03,41
323,26505.0,44180.0,"Congressional District 4 (115th Congress), Oregon",04,41
324,43233.0,56481.0,"Congressional District 5 (115th Congress), Oregon",05,41
325,34648.0,42667.0,"Congressional District 1 (115th Congress), Pennsylvania",01,42
326,28519.0,38637.0,"Congressional District 2 (115th Congress), Pennsylvania",02,42
327,25463.0,49130.0,"Congressional District 3 (115th Congress), Pennsylvania",03,42
328,35532.0,59226.0,"Congressional District 4 (115th Congress), Pennsylvania",04,42
329,31250.0,47533.0,"Congressional District 5 (115th Congress), Pennsylvania",05,42
330,55319.0,77580.0,"Congressional District 6 (115th Congress), Pennsylvania",06,42
331,55960.0,82483.0,"Congressional District 7 (115th Congress), Pennsylvania",07,42
332,49503.0,79615.0,"Congressional District 8 (115th Congress), Pennsylvania",08,42
333,28889.0,46561.0,"Congressional District 9 (115th Congress), Pennsylvania",09,42
334,41234.0,51517.0,"Congressional District 10 (115th Congress), Pennsylvania",10,42
335,40178.0,52531.0,"Congressional District 11 (115th Congress), Pennsylvania",11,42
336,33910.0,57825.0,"Congressional District 12 (115th Congress), Pennsylvania",12,42
337,43493.0,57623.0,"Congressional District 13 (115th Congress), Pennsylvania",13,42
338,27688.0,43329.0,"Congressional District 14 (115th Congress), Pennsylvania",14,42
339,38835.0,60100.0,"Congressional District 15 (115th Congress), Pennsylvania",15,42
340,33962.0,55641.0,"Congressional District 16 (115th Congress), Pennsylvania",16,42
341,43199.0,49619.0,"Congressional District 17 (115th Congress), Pennsylvania",17,42
342,36027.0,62283.0,"Congressional District 18 (115th Congress), Pennsylvania",18,42
343,36419.0,53699.0,"Congressional District 1 (115th Congress), Rhode Island",01,44
344,38580.0,63107.0,"Congressional District 2 (115th Congress), Rhode Island",02,44
345,37987.0,61354.0,"Congressional District 1 (115th Congress), South Carolina",01,45
346,41699.0,55143.0,"Congressional District 2 (115th Congress), South Carolina",02,45
347,28671.0,42513.0,"Congressional District 3 (115th Congress), South Carolina",03,45
348,30820.0,49093.0,"Congressional District 4 (115th Congress), South Carolina",04,45
349,30156.0,46062.0,"Congressional District 5 (115th Congress), South Carolina",05,45
350,28147.0,35014.0,"Congressional District 6 (115th Congress), South Carolina",06,45
351,27640.0,41296.0,"Congressional District 7 (115th Congress), South Carolina",07,45
352,35916.0,52078.0,"Congressional District (at Large) (115th Congress), South Dakota",00,46
353,26458.0,39305.0,"Congressional District 1 (115th Congress), Tennessee",01,47
354,28513.0,48615.0,"Congressional District 2 (115th Congress), Tennessee",02,47
355,29506.0,43943.0,"Congressional District 3 (115th Congress), Tennessee",03,47
356,40111.0,48420.0,"Congressional District 4 (115th Congress), Tennessee",04,47
357,36010.0,50317.0,"Congressional District 5 (115th Congress), Tennessee",05,47
358,43287.0,47925.0,"Congressional District 6 (115th Congress), Tennessee",06,47
359,36666.0,51936.0,"Congressional District 7 (115th Congress), Tennessee",07,47
360,35025.0,53877.0,"Congressional District 8 (115th Congress), Tennessee",08,47
361,31793.0,37644.0,"Congressional District 9 (115th Congress), Tennessee",09,47
362,27562.0,45724.0,"Congressional District 1 (115th Congress), Texas",01,48
363,57353.0,74099.0,"Congressional District 2 (115th Congress), Texas",02,48
364,64829.0,86783.0,"Congressional District 3 (115th Congress), Texas",03,48
365,27382.0,49540.0,"Congressional District 4 (115th Congress), Texas",04,48
366,36237.0,47410.0,"Congressional District 5 (115th Congress), Texas",05,48
367,52355.0,62450.0,"Congressional District 6 (115th Congress), Texas",06,48
368,49127.0,71343.0,"Congressional District 7 (115th Congress), Texas",07,48
369,39114.0,64196.0,"Congressional District 8 (115th Congress), Texas",08,48
370,42095.0,44024.0,"Congressional District 9 (115th Congress), Texas",09,48
371,50059.0,69430.0,"Congressional District 10 (115th Congress), Texas",10,48
372,37590.0,52461.0,"Congressional District 11 (115th Congress), Texas",11,48
373,43031.0,62081.0,"Congressional District 12 (115th Congress), Texas",12,48
374,27434.0,49229.0,"Congressional District 13 (115th Congress), Texas",13,48
375,32721.0,55501.0,"Congressional District 14 (115th Congress), Texas",14,48
376,64232.0,41865.0,"Congressional District 15 (115th Congress), Texas",15,48
377,47973.0,43683.0,"Congressional District 16 (115th Congress), Texas",16,48
378,33005.0,49401.0,"Congressional District 17 (115th Congress), Texas",17,48
379,32183.0,42352.0,"Congressional District 18 (115th Congress), Texas",18,48
380,31299.0,46727.0,"Congressional District 19 (115th Congress), Texas",19,48
381,44894.0,48594.0,"Congressional District 20 (115th Congress), Texas",20,48
382,45829.0,63979.0,"Congressional District 21 (115th Congress), Texas",21,48
383,78222.0,90194.0,"Congressional District 22 (115th Congress), Texas",22,48
384,52083.0,51081.0,"Congressional District 23 (115th Congress), Texas",23,48
385,46466.0,67197.0,"Congressional District 24 (115th Congress), Texas",24,48
386,45164.0,63799.0,"Congressional District 25 (115th Congress), Texas",25,48
387,63039.0,81425.0,"Congressional District 26 (115th Congress), Texas",26,48
388,33490.0,51398.0,"Congressional District 27 (115th Congress), Texas",27,48
389,57997.0,45253.0,"Congressional District 28 (115th Congress), Texas",28,48
390,36106.0,39571.0,"Congressional District 29 (115th Congress), Texas",29,48
391,36792.0,42708.0,"Congressional District 30 (115th Congress), Texas",30,48
392,48231.0,65636.0,"Congressional District 31 (115th Congress), Texas",31,48
393,44532.0,65544.0,"Congressional District 32 (115th Congress), Texas",32,48
394,28334.0,36755.0,"Congressional District 33 (115th Congress), Texas",33,48
395,36480.0,36417.0,"Congressional District 34 (115th Congress), Texas",34,48
396,33720.0,43311.0,"Congressional District 35 (115th Congress), Texas",35,48
397,37017.0,56549.0,"Congressional District 36 (115th Congress), Texas",36,48
398,37813.0,62875.0,"Congressional District 1 (115th Congress), Utah",01,49
399,35170.0,56311.0,"Congressional District 2 (115th Congress), Utah",02,49
400,60018.0,66478.0,"Congressional District 3 (115th Congress), Utah",03,49
401,45455.0,65081.0,"Congressional District 4 (115th Congress), Utah",04,49
402,42935.0,56104.0,"Congressional District (at Large) (115th Congress), Vermont",00,50
403,67174.0,80492.0,"Congressional District 1 (115th Congress), Virginia",01,51
404,46063.0,63681.0,"Congressional District 2 (115th Congress), Virginia",02,51
405,39714.0,50822.0,"Congressional District 3 (115th Congress), Virginia",03,51
406,37622.0,52464.0,"Congressional District 4 (115th Congress), Virginia",04,51
407,32557.0,50005.0,"Congressional District 5 (115th Congress), Virginia",05,51
408,31231.0,49798.0,"Congressional District 6 (115th Congress), Virginia",06,51
409,53531.0,70994.0,"Congressional District 7 (115th Congress), Virginia",07,51
410,63965.0,100649.0,"Congressional District 8 (115th Congress), Virginia",08,51
411,27331.0,40855.0,"Congressional District 9 (115th Congress), Virginia",09,51
412,93562.0,116069.0,"Congressional District 10 (115th Congress), Virginia",10,51
413,85434.0,105024.0,"Congressional District 11 (115th Congress), Virginia",11,51
414,86783.0,85293.0,"Congressional District 1 (115th Congress), Washington",01,53
415,53064.0,61475.0,"Congressional District 2 (115th Congress), Washington",02,53
416,41335.0,56436.0,"Congressional District 3 (115th Congress), Washington",03,53
417,40603.0,51434.0,"Congressional District 4 (115th Congress), Washington",04,53
418,30261.0,48516.0,"Congressional District 5 (115th Congress), Washington",05,53
419,39416.0,57285.0,"Congressional District 6 (115th Congress), Washington",06,53
420,33345.0,75568.0,"Congressional District 7 (115th Congress), Washington",07,53
421,61080.0,75953.0,"Congressional District 8 (115th Congress), Washington",08,53
422,39551.0,68915.0,"Congressional District 9 (115th Congress), Washington",09,53
423,54624.0,59107.0,"Congressional District 10 (115th Congress), Washington",10,53
424,27296.0,43285.0,"Congressional District 1 (115th Congress), West Virginia",01,54
425,39161.0,47628.0,"Congressional District 2 (115th Congress), West Virginia",02,54
426,25384.0,37243.0,"Congressional District 3 (115th Congress), West Virginia",03,54
427,28327.0,60528.0,"Congressional District 1 (115th Congress), Wisconsin",01,55
428,29733.0,60946.0,"Congressional District 2 (115th Congress), Wisconsin",02,55
429,30660.0,50985.0,"Congressional District 3 (115th Congress), Wisconsin",03,55
430,27143.0,40400.0,"Congressional District 4 (115th Congress), Wisconsin",04,55
431,39851.0,65816.0,"Congressional District 5 (115th Congress), Wisconsin",05,55
432,30379.0,55310.0,"Congressional District 6 (115th Congress), Wisconsin",06,55
433,40841.0,50744.0,"Congressional District 7 (115th Congress), Wisconsin",07,55
434,26332.0,55380.0,"Congressional District 8 (115th Congress), Wisconsin",08,55
435,44079.0,59143.0,"Congressional District (at Large) (115th Congress), Wyoming",00,56
